Mes;dia;Provincia;TotalVales;TotalEntregados;TotalCancelados;TotalIncidencias;TotalDevoluciones
Noviembre;23;Almeria;1;1;0;0;0
Noviembre;23;Almeria;3;3;0;0;0
Noviembre;23;Almeria;1;1;0;0;0
Noviembre;23;Almeria;2;2;0;0;0
Noviembre;23;Almeria;1;1;0;0;0
Noviembre;23;Almeria;2;2;0;0;0
Noviembre;23;Almeria;1;1;0;0;0
Noviembre;23;Almeria;1;1;0;0;0
Noviembre;23;Almeria;1;1;0;0;0
Noviembre;23;Almeria;1;1;0;0;0
Noviembre;23;Cordoba;4;4;0;0;0
Noviembre;23;Cordoba;3;3;0;0;0
Noviembre;23;Cordoba;2;2;0;0;0
Noviembre;23;Cordoba;2;2;0;0;0
Noviembre;23;Cordoba;1;1;0;0;0
Noviembre;23;Cordoba;1;0;1;0;0
Noviembre;23;Huelva;1;1;0;0;0
Noviembre;23;Huelva;2;1;1;0;0
Noviembre;23;Huelva;2;2;0;0;0
Noviembre;23;Huelva;1;1;0;0;0
Noviembre;23;Huelva;1;1;0;0;0
Noviembre;23;Huelva;2;1;1;0;0
Noviembre;23;Granada;12;0;12;0;0
Noviembre;23;Granada;4;0;4;0;0
Noviembre;23;Granada;5;0;3;0;0
Noviembre;23;Granada;3;3;0;0;0
Noviembre;23;Granada;2;2;0;0;0
Noviembre;23;Granada;12;4;0;0;0
Noviembre;23;Granada;3;1;2;0;0
Noviembre;23;Granada;1;1;0;0;0
Noviembre;23;Granada;3;3;0;0;0
Noviembre;23;Granada;6;4;2;0;0
Noviembre;23;Granada;2;1;1;0;0
Noviembre;23;Granada;5;3;2;0;0
Noviembre;23;Granada;3;3;0;0;0
Noviembre;23;Granada;1;1;0;0;0
Noviembre;23;Granada;1;1;0;0;0
Noviembre;23;Granada;4;4;0;0;0
Noviembre;23;Granada;5;2;3;0;0
Noviembre;23;Granada;1;1;0;0;0
Noviembre;23;Granada;1;1;0;0;0
Noviembre;23;Granada;1;1;0;0;0
Noviembre;23;Granada;1;1;0;0;0
Noviembre;23;Granada;1;1;0;0;0
Noviembre;23;Malaga;1;1;0;0;0
Noviembre;23;Malaga;4;2;2;0;0
Noviembre;23;Malaga;1;1;0;0;0
Noviembre;23;Malaga;1;1;0;0;0
Noviembre;23;Malaga;1;1;0;0;0
Noviembre;23;Malaga;4;2;0;0;0
Noviembre;24;Huelva;3;3;0;0;0
Noviembre;24;Huelva;2;2;0;0;0
Noviembre;24;Huelva;3;3;0;0;0
Noviembre;24;Huelva;1;1;0;0;0
Noviembre;24;Huelva;1;1;0;0;0
Noviembre;24;Huelva;1;1;0;0;0
Noviembre;24;Huelva;4;3;1;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;2;2;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Almeria;1;1;0;0;0
Noviembre;24;Cordoba;2;1;1;0;0
Noviembre;24;Cordoba;1;1;0;0;0
Noviembre;24;Cordoba;3;1;2;0;0
Noviembre;24;Cordoba;2;2;0;0;0
Noviembre;24;Cordoba;3;2;0;0;0
Noviembre;24;Cordoba;1;1;0;0;0
Noviembre;24;Cordoba;2;2;0;0;0
Noviembre;24;Cordoba;4;3;0;0;0
Noviembre;24;Cordoba;1;1;0;0;0
Noviembre;24;Sevilla;3;3;0;0;0
Noviembre;24;Sevilla;3;3;0;0;0
Noviembre;24;Sevilla;5;5;0;0;0
Noviembre;24;Sevilla;3;3;0;0;0
Noviembre;24;Sevilla;2;2;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;0;1;0;0
Noviembre;24;Sevilla;2;2;0;0;0
Noviembre;24;Sevilla;2;2;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;2;1;1;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;4;4;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;3;2;1;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;6;5;1;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;2;2;0;0;0
Noviembre;24;Sevilla;3;3;0;0;0
Noviembre;24;Sevilla;4;4;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;5;5;0;0;0
Noviembre;24;Sevilla;3;3;0;0;0
Noviembre;24;Sevilla;4;4;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;2;2;0;0;0
Noviembre;24;Sevilla;3;2;1;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;0;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;2;2;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;6;0;0;0;0
Noviembre;24;Sevilla;3;3;0;0;0
Noviembre;24;Sevilla;3;3;0;0;0
Noviembre;24;Sevilla;1;0;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;4;4;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;0;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;0;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Sevilla;1;1;0;0;0
Noviembre;24;Malaga;2;0;0;0;0
Noviembre;24;Malaga;1;1;0;0;0
Noviembre;24;Malaga;1;0;0;0;0
Noviembre;24;Malaga;4;4;0;0;0
Noviembre;24;Malaga;7;0;0;0;0
Noviembre;24;Malaga;2;1;1;0;0
Noviembre;24;Malaga;2;2;0;0;0
Noviembre;24;Malaga;2;2;0;0;0
Noviembre;24;Cadiz;5;5;0;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Cadiz;4;4;0;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Cadiz;5;4;1;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Cadiz;1;1;0;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Cadiz;1;1;0;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Cadiz;2;1;0;0;0
Noviembre;24;Cadiz;3;3;0;0;0
Noviembre;24;Cadiz;5;4;1;0;0
Noviembre;24;Cadiz;1;1;0;0;0
Noviembre;24;Cadiz;1;1;0;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Cadiz;1;1;0;0;0
Noviembre;24;Cadiz;1;1;0;0;0
Noviembre;24;Cadiz;2;1;1;0;0
Noviembre;24;Cadiz;1;1;0;0;0
Noviembre;24;Cadiz;2;2;0;0;0
Noviembre;24;Granada;4;3;1;0;0
Noviembre;24;Granada;2;2;0;0;0
Noviembre;24;Granada;5;4;1;0;0
Noviembre;24;Granada;4;4;0;0;0
Noviembre;24;Granada;2;2;0;0;0
Noviembre;24;Granada;7;5;0;0;0
Noviembre;24;Granada;1;1;0;0;0
Noviembre;24;Granada;1;1;0;0;0
Noviembre;24;Granada;3;3;0;0;0
Noviembre;24;Granada;7;7;0;0;0
Noviembre;24;Granada;3;3;0;0;0
Noviembre;24;Granada;2;2;0;0;0
Noviembre;24;Granada;4;4;0;0;0
Noviembre;24;Granada;2;2;0;0;0
Noviembre;24;Granada;2;2;0;0;0
Noviembre;24;Granada;3;3;0;0;0
Noviembre;24;Granada;6;4;2;0;0
Noviembre;24;Granada;3;3;0;0;0
Noviembre;24;Granada;8;6;1;0;0
Noviembre;24;Granada;2;2;0;0;0
Noviembre;24;Granada;2;2;0;0;0
Noviembre;24;Granada;1;1;0;0;0
Noviembre;24;Granada;3;2;1;0;0
Noviembre;24;Granada;2;2;0;0;0
Noviembre;24;Jaen;2;2;0;0;0
Noviembre;24;Jaen;1;0;0;0;0
Noviembre;24;Jaen;4;2;0;0;0
Noviembre;24;Jaen;2;2;0;0;0
Noviembre;24;Jaen;1;1;0;0;0
Noviembre;24;Jaen;1;1;0;0;0
Noviembre;24;Jaen;5;0;0;0;0
Noviembre;24;Jaen;1;1;0;0;0
Noviembre;24;Jaen;2;1;1;0;0
Noviembre;24;Jaen;5;0;0;0;0
Noviembre;24;Jaen;1;0;0;0;0
Noviembre;24;Jaen;2;2;0;0;0
